,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,7,3,4.462962962962963,1.0715167512214394,0.19505906105041504,0.08229923248291016,0.1034665483015555,0.023373882695991697,11.175589323043823
1,1,8,1,7,3,4.462962962962963,1.0715167512214394,0.22925400733947754,0.08499932289123535,0.10168208899321379,0.01980780578168939,10.982962131500244
2,1,8,2,7,3,4.462962962962963,1.0715167512214394,0.2277693748474121,0.08557343482971191,0.10796928405761719,0.023998809847361777,11.662060022354126
3,1,8,3,7,3,4.462962962962963,1.0715167512214394,0.3246128559112549,0.08487462997436523,0.11623674851876718,0.03700128177304867,12.55487871170044
4,1,16,0,7,3,5.148148148148148,0.8945819763590396,0.27408647537231445,0.08773517608642578,0.10913738497981319,0.021198490785313075,11.788227081298828
5,1,16,1,7,3,5.148148148148148,0.8945819763590396,0.24100232124328613,0.0884389877319336,0.1129287702065927,0.02064193952910722,12.197664260864258
6,1,16,2,7,3,5.148148148148148,0.8945819763590396,0.29674720764160156,0.08905172348022461,0.1363294831028691,0.043236514687184285,14.724888563156128
7,1,16,3,7,3,5.148148148148148,0.8945819763590396,0.33880043029785156,0.08905196189880371,0.1492038501633538,0.052887982813360414,16.11544132232666
8,2,8,0,7,3,5.518518518518518,1.1230922056793011,0.28020691871643066,0.09871387481689453,0.13943987643277203,0.031282957237297085,15.060851812362671
9,2,8,1,7,3,5.518518518518518,1.1230922056793011,0.32141852378845215,0.09283065795898438,0.14514898150055497,0.03137097820627012,15.677239894866943
10,2,8,2,7,3,5.518518518518518,1.1230922056793011,0.3221609592437744,0.09569787979125977,0.1503608359230889,0.03526174331769676,16.240304946899414
11,2,8,3,7,3,5.518518518518518,1.1230922056793011,0.32910585403442383,0.0934453010559082,0.15855586308020134,0.038264756498558476,17.125312328338623
12,2,16,0,7,2,4.018518518518518,1.1838593743960675,0.45745348930358887,0.12626028060913086,0.27353996479952775,0.07673356929483588,29.54352593421936
13,2,16,1,7,2,4.018518518518518,1.1838593743960675,0.42821288108825684,0.12580275535583496,0.2720245056682163,0.07320720050058116,29.38003969192505
14,2,16,2,7,2,4.018518518518518,1.1838593743960675,0.4978780746459961,0.13146495819091797,0.28703881634606254,0.08692382067065436,31.00152015686035
15,2,16,3,7,2,4.018518518518518,1.1838593743960675,0.6215782165527344,0.15336990356445312,0.3299572335349189,0.1220674474469182,35.636757612228394
16,3,8,0,7,3,5.425925925925926,0.9590075058782962,0.3999457359313965,0.11416196823120117,0.1874553539134838,0.04984750668590308,20.246465921401978
17,3,8,1,7,3,5.425925925925926,0.9590075058782962,0.3720109462738037,0.11657047271728516,0.19397086125833016,0.049917313635363364,20.95026707649231
18,3,8,2,7,3,5.425925925925926,0.9590075058782962,0.48132777214050293,0.11456704139709473,0.20548276327274465,0.05613130701957639,22.193453311920166
19,3,8,3,7,3,5.425925925925926,0.9590075058782962,0.41390252113342285,0.11486482620239258,0.21528005158459698,0.05734591452451611,23.25162434577942
20,3,16,0,7,2,4.12962962962963,1.2976801197982066,7.744383335113525,0.17676162719726562,1.8747380177179973,1.7387096964332283,202.47297835350037
21,3,16,1,7,2,4.12962962962963,1.2976801197982066,7.675227403640747,0.1783733367919922,1.7484017169034038,1.645446252682099,188.8287034034729
22,3,16,2,7,2,4.12962962962963,1.2976801197982066,6.348992586135864,0.18485164642333984,1.7157694609076888,1.424839142549404,185.30442261695862
23,3,16,3,7,2,4.12962962962963,1.2976801197982066,4.992934703826904,0.17407703399658203,1.6160457774444863,1.2925831481469432,174.53428077697754
