,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,7,2,5.049180327868853,1.2521218950007973,0.42585325241088867,0.07857799530029297,0.10482822871599042,0.03670167318277682,12.790258646011353
1,1,8,1,7,2,5.049180327868853,1.2521218950007973,0.20692205429077148,0.08275532722473145,0.10419427566841001,0.02093065201584776,12.713110208511353
2,1,8,2,7,2,5.049180327868853,1.2521218950007973,0.27454042434692383,0.08393263816833496,0.10377305452940894,0.022275975961856063,12.661720275878906
3,1,8,3,7,2,5.049180327868853,1.2521218950007973,0.2633790969848633,0.08442330360412598,0.12605871724300696,0.03248472249448033,15.380596399307251
4,1,16,0,7,2,4.721311475409836,1.4331511548890399,0.5521376132965088,0.08785009384155273,0.12735202859659664,0.05545580939911045,15.538504600524902
5,1,16,1,7,2,4.721311475409836,1.4331511548890399,0.3301968574523926,0.08763241767883301,0.13445863371989766,0.03969936161969532,16.405715465545654
6,1,16,2,7,2,4.721311475409836,1.4331511548890399,0.3137936592102051,0.08880305290222168,0.13352684114800126,0.036549098036344145,16.291584014892578
7,1,16,3,7,2,4.721311475409836,1.4331511548890399,0.3866710662841797,0.08687877655029297,0.1518640381390931,0.058362479531432,18.528799295425415
8,2,8,0,7,3,5.245901639344262,0.9028098965194659,0.2556159496307373,0.08955073356628418,0.12542993709689282,0.018796691623288404,15.303832530975342
9,2,8,1,7,3,5.245901639344262,0.9028098965194659,0.2440471649169922,0.09238910675048828,0.13591274277108614,0.023987759529344715,16.582753896713257
10,2,8,2,7,3,5.245901639344262,0.9028098965194659,0.34221506118774414,0.09439873695373535,0.15628294866593156,0.03665522107924677,19.06793189048767
11,2,8,3,7,3,5.245901639344262,0.9028098965194659,0.29778337478637695,0.09542250633239746,0.16324330744196158,0.04330057538251755,19.917054176330566
12,2,16,0,7,3,4.786885245901639,1.0141927392475756,0.3915841579437256,0.11452770233154297,0.22964604956204773,0.05433921900269286,28.01814341545105
13,2,16,1,7,3,4.786885245901639,1.0141927392475756,0.42778658866882324,0.1145334243774414,0.23485312696363106,0.05096261346232516,28.653457164764404
14,2,16,2,7,3,4.786885245901639,1.0141927392475756,0.43689465522766113,0.11591029167175293,0.25174939436990706,0.06487522033816451,30.714805603027344
15,2,16,3,7,3,4.786885245901639,1.0141927392475756,0.4186363220214844,0.13149404525756836,0.2725558163689785,0.07808777059997743,33.253204584121704
16,3,8,0,7,3,4.459016393442623,1.2540680315789121,0.32787466049194336,0.10647225379943848,0.18485495106118624,0.03624531842097693,22.55372953414917
17,3,8,1,7,3,4.459016393442623,1.2540680315789121,0.34650158882141113,0.1012423038482666,0.18705156201221904,0.03815026786184911,22.821723461151123
18,3,8,2,7,3,4.459016393442623,1.2540680315789121,0.35530734062194824,0.10876202583312988,0.19675982584718799,0.04059406225743948,24.00607919692993
19,3,8,3,7,3,4.459016393442623,1.2540680315789121,0.3702404499053955,0.1076502799987793,0.20441246814415104,0.04266975780064536,24.939749002456665
20,3,16,0,7,3,4.245901639344262,1.085680465371765,8.337494611740112,0.2265934944152832,1.7250078134849423,1.499286716697831,210.45220756530762
21,3,16,1,7,3,4.245901639344262,1.085680465371765,4.463165998458862,0.21120691299438477,1.4127410278945673,1.0309423794524528,172.3558647632599
22,3,16,2,7,3,4.245901639344262,1.085680465371765,7.129867076873779,0.2035832405090332,1.6035858920363129,1.5553157102569968,195.63885617256165
23,3,16,3,7,3,4.245901639344262,1.085680465371765,5.694168567657471,0.21482563018798828,1.5966390508120176,1.4582235195641475,194.7912998199463
