,camadas,neurônios,slices,tamanho_max,tamanho_min,tamanho_médio,tamanho_desvio_padrão,tempo_max,tempo_min,tempo_médio,tempo_desvio_padrão,tempo_total
0,1,8,0,9,6,8.047619047619047,0.9206622874969125,1.4270565509796143,0.09859514236450195,0.16891732670011975,0.28833441122796805,3.5477774143218994
1,1,8,1,9,6,8.047619047619047,0.9206622874969125,0.21182918548583984,0.09824585914611816,0.1254931063879104,0.026947278174101637,2.635887861251831
2,1,8,2,9,6,8.047619047619047,0.9206622874969125,0.17434406280517578,0.09929394721984863,0.12631307329450334,0.021637768926836644,2.6531152725219727
3,1,8,3,9,6,8.047619047619047,0.9206622874969125,0.23260831832885742,0.10037112236022949,0.1404166789281936,0.03859318721576346,2.9493424892425537
4,1,16,0,9,7,8.19047619047619,0.6796357567879738,0.16312241554260254,0.10574936866760254,0.1282627923148019,0.018562685091695563,2.694094181060791
5,1,16,1,9,7,8.19047619047619,0.6796357567879738,0.2594170570373535,0.10607576370239258,0.15173994927179246,0.04010229017443328,3.18709659576416
6,1,16,2,9,7,8.19047619047619,0.6796357567879738,0.25405168533325195,0.1057736873626709,0.1518138703845796,0.04045367024699899,3.1886954307556152
7,1,16,3,9,7,8.19047619047619,0.6796357567879738,0.28946709632873535,0.12371134757995605,0.17903490293593632,0.04723060716313936,3.7602946758270264
8,2,8,0,9,5,7.857142857142857,1.3887301496588271,0.2198646068572998,0.11403059959411621,0.14805337360927037,0.028684657831140492,3.109710931777954
9,2,8,1,9,5,7.857142857142857,1.3887301496588271,0.2820005416870117,0.11840009689331055,0.17190212295168922,0.04815097089199713,3.610478162765503
10,2,8,2,9,5,7.857142857142857,1.3887301496588271,0.26806640625,0.11758065223693848,0.16902795292082287,0.04287744881938838,3.550175666809082
11,2,8,3,9,5,7.857142857142857,1.3887301496588271,0.33878374099731445,0.11856460571289062,0.18401875950041272,0.061988490465701894,3.8649942874908447
12,2,16,0,9,6,7.904761904761905,0.7684244858645451,0.5520765781402588,0.15248990058898926,0.27603621709914433,0.10244169111925643,5.797320127487183
13,2,16,1,9,6,7.904761904761905,0.7684244858645451,0.5425164699554443,0.15822815895080566,0.2842431863149007,0.10622958712291555,5.969652414321899
14,2,16,2,9,6,7.904761904761905,0.7684244858645451,0.5939822196960449,0.15348005294799805,0.3141225406101772,0.12182477421240444,6.597118139266968
15,2,16,3,9,6,7.904761904761905,0.7684244858645451,0.8236021995544434,0.1455516815185547,0.3272867997487386,0.16137091112941604,6.873545408248901
16,3,8,0,9,6,7.714285714285714,1.1464230084422218,0.3567314147949219,0.1435375213623047,0.20529677754356748,0.06612524297896089,4.311821222305298
17,3,8,1,9,6,7.714285714285714,1.1464230084422218,0.3829691410064697,0.14362525939941406,0.22313371158781506,0.07330335858953498,4.686350345611572
18,3,8,2,9,6,7.714285714285714,1.1464230084422218,0.4045090675354004,0.1472911834716797,0.22839346386137463,0.07495182230060128,4.796836614608765
19,3,8,3,9,6,7.714285714285714,1.1464230084422218,0.4549403190612793,0.14486408233642578,0.24005209831964403,0.09084073147154863,5.041645288467407
20,3,16,0,9,6,7.571428571428571,1.0281745265969475,6.327844142913818,0.3408620357513428,1.8564333802177793,1.9674083083918958,38.98568844795227
21,3,16,1,9,6,7.571428571428571,1.0281745265969475,18.162421464920044,0.29779934883117676,2.5549515769595192,4.091888348142005,53.65453791618347
22,3,16,2,9,6,7.571428571428571,1.0281745265969475,11.885294675827026,0.32132411003112793,2.0211528482891263,2.715157154933094,42.444801807403564
23,3,16,3,9,6,7.571428571428571,1.0281745265969475,18.86460018157959,0.25583791732788086,2.360887981596447,4.087231147168783,49.57922863960266
24,4,8,0,9,6,7.9523809523809526,0.9206622874969125,0.4122471809387207,0.18579626083374023,0.28040867760067895,0.06867109080625027,5.889134883880615
25,4,8,1,9,6,7.9523809523809526,0.9206622874969125,0.5228729248046875,0.16836023330688477,0.30854034423828125,0.09685777358782925,6.4798924922943115
26,4,8,2,9,6,7.9523809523809526,0.9206622874969125,0.5056149959564209,0.16698098182678223,0.29550711313883465,0.09293555552071109,6.206230401992798
27,4,8,3,9,6,7.9523809523809526,0.9206622874969125,0.5508525371551514,0.18249201774597168,0.3082166285741897,0.10234776984896544,6.473094463348389
28,4,16,0,9,4,8.095238095238095,1.2611408289624877,73.22424221038818,0.8348772525787354,10.375722555887132,18.434081551254287,217.89070868492126
29,4,16,1,9,4,8.095238095238095,1.2611408289624877,117.61749982833862,0.6079287528991699,12.089166766121274,25.66576663045094,253.872967004776
30,4,16,2,9,4,8.095238095238095,1.2611408289624877,110.8281819820404,0.7746167182922363,11.101005792617798,24.726835538582904,233.1216962337494
31,4,16,3,9,4,8.095238095238095,1.2611408289624877,49.114381074905396,0.6482853889465332,8.1575973374503,11.771009885476621,171.31012392044067
